,STOCK CODE,STOCK NAME_x,VALUE DATE,EVAL MID YIELD,EVAL MID PRICE,EVAL MID PRICE CHANGE,EVAL MID YIELD CHANGE,MODIFIED DURATION,CONVEXITY,COUPON FREQUENCY,NEXT COUPON RATE
1236,DK140038,UNITAPAH 5.23% Series 11 11.06.2021,2020-01-02,3.583,102.289,0.0,-0.006,1.3780000000000001,2.603,2.0,5.23
1229,DK140038,UNITAPAH 5.23% Series 11 11.06.2021,2020-02-03,3.437,102.344,-0.009000000000000001,-0.004,1.2919999999999998,2.335,2.0,5.23
1227,DK140038,UNITAPAH 5.23% Series 11 11.06.2021,2020-03-02,3.233,102.47,-0.002,-0.011000000000000001,1.218,2.113,2.0,5.23
1223,DK140038,UNITAPAH 5.23% Series 11 11.06.2021,2020-04-01,3.3739999999999997,102.148,0.032,-0.031,1.137,1.88,2.0,5.23
1220,DK140038,UNITAPAH 5.23% Series 11 11.06.2021,2020-05-04,3.1460000000000004,102.238,0.003,-0.022000000000000002,1.0490000000000002,1.645,2.0,5.23
1208,DK140038,UNITAPAH 5.23% Series 11 11.06.2021,2020-06-01,2.9130000000000003,102.325,-0.016,-0.002,0.975,1.459,2.0,5.23
1207,DK140038,UNITAPAH 5.23% Series 11 11.06.2021,2020-07-01,2.915,102.141,-0.005,-0.001,0.919,1.304,2.0,5.23
1198,DK140038,UNITAPAH 5.23% Series 11 11.06.2021,2020-08-03,2.6180000000000003,102.19,-0.026000000000000002,-0.002,0.831,1.107,2.0,5.23
1181,DK140038,UNITAPAH 5.23% Series 11 11.06.2021,2020-09-01,2.535,102.052,-0.02,-0.012,0.753,0.945,2.0,5.23
1178,DK140038,UNITAPAH 5.23% Series 11 11.06.2021,2020-10-01,2.583,101.803,-0.006999999999999999,0.0,0.672,0.789,2.0,5.23
1168,DK140038,UNITAPAH 5.23% Series 11 11.06.2021,2020-11-02,2.4419999999999997,101.663,-0.015,-0.012,0.586,0.638,2.0,5.23
1288,DL140035,UNITAPAH 5.39% Series 14 12.12.2022,2019-08-01,3.924,104.572,0.0,-0.001,3.0469999999999997,11.253,2.0,5.39
1276,DL140035,UNITAPAH 5.39% Series 14 12.12.2022,2019-09-03,3.7430000000000003,105.023,0.013000000000000001,-0.009000000000000001,2.9610000000000003,10.7,2.0,5.39
1262,DL140035,UNITAPAH 5.39% Series 14 12.12.2022,2019-10-01,3.7439999999999998,104.90899999999999,-0.001,-0.001,2.886,10.222000000000001,2.0,5.39
1263,DL140035,UNITAPAH 5.39% Series 14 12.12.2022,2019-11-01,3.74,104.79899999999999,-0.001,-0.001,2.803,9.707,2.0,5.39
1258,DL140035,UNITAPAH 5.39% Series 14 12.12.2022,2019-12-02,3.7260000000000004,104.719,-0.012,0.0,2.72,9.208,2.0,5.39
1239,DL140035,UNITAPAH 5.39% Series 14 12.12.2022,2020-01-02,3.707,104.648,-0.006,-0.001,2.707,8.955,2.0,5.39
1232,DL140035,UNITAPAH 5.39% Series 14 12.12.2022,2020-02-03,3.53,105.00399999999999,0.016,-0.011000000000000001,2.6239999999999997,8.471,2.0,5.39
1230,DL140035,UNITAPAH 5.39% Series 14 12.12.2022,2020-03-02,3.3280000000000003,105.42299999999999,0.012,-0.01,2.552,8.062000000000001,2.0,5.39
1226,DL140035,UNITAPAH 5.39% Series 14 12.12.2022,2020-04-01,3.648,104.429,0.077,-0.031,2.4659999999999997,7.5889999999999995,2.0,5.39
1223,DL140035,UNITAPAH 5.39% Series 14 12.12.2022,2020-05-04,3.278,105.23,0.033,-0.021,2.383,7.145,2.0,5.39
1211,DL140035,UNITAPAH 5.39% Series 14 12.12.2022,2020-06-01,3.1310000000000002,105.45,-0.012,-0.002,2.309,6.765,2.0,5.39
1210,DL140035,UNITAPAH 5.39% Series 14 12.12.2022,2020-07-01,3.147,105.243,-0.006,0.0,2.2880000000000003,6.527,2.0,5.39
1201,DL140035,UNITAPAH 5.39% Series 14 12.12.2022,2020-08-03,2.8369999999999997,105.77799999999999,-0.024,-0.001,2.2030000000000003,6.105,2.0,5.39
1184,DL140035,UNITAPAH 5.39% Series 14 12.12.2022,2020-09-01,2.747,105.79299999999999,-0.006999999999999999,-0.009000000000000001,2.126,5.732,2.0,5.39
1181,DL140035,UNITAPAH 5.39% Series 14 12.12.2022,2020-10-01,2.783,105.512,-0.006,0.0,2.044,5.352,2.0,5.39
1171,DL140035,UNITAPAH 5.39% Series 14 12.12.2022,2020-11-02,2.705,105.463,-0.019,-0.001,1.9580000000000002,4.968,2.0,5.39
1287,DL140036,UNITAPAH 5.34% Series 13 10.06.2022,2019-08-01,3.8989999999999996,103.85600000000001,-0.003,0.0,2.622,8.458,2.0,5.34
1275,DL140036,UNITAPAH 5.34% Series 13 10.06.2022,2019-09-03,3.718,104.22200000000001,0.013999999999999999,-0.011000000000000001,2.536,7.973,2.0,5.34
1261,DL140036,UNITAPAH 5.34% Series 13 10.06.2022,2019-10-01,3.7119999999999997,104.126,-0.006999999999999999,0.001,2.461,7.56,2.0,5.34
1262,DL140036,UNITAPAH 5.34% Series 13 10.06.2022,2019-11-01,3.701,104.031,-0.004,0.0,2.378,7.117000000000001,2.0,5.34
1257,DL140036,UNITAPAH 5.34% Series 13 10.06.2022,2019-12-02,3.6839999999999997,103.95100000000001,-0.009000000000000001,-0.001,2.295,6.687,2.0,5.34
1238,DL140036,UNITAPAH 5.34% Series 13 10.06.2022,2020-01-02,3.6660000000000004,103.866,-0.009000000000000001,0.0,2.272,6.44,2.0,5.34
1231,DL140036,UNITAPAH 5.34% Series 13 10.06.2022,2020-02-03,3.498,104.115,0.011000000000000001,-0.011000000000000001,2.187,6.025,2.0,5.34
1229,DL140036,UNITAPAH 5.34% Series 13 10.06.2022,2020-03-02,3.2969999999999997,104.43299999999999,0.006999999999999999,-0.01,2.115,5.676,2.0,5.34
1225,DL140036,UNITAPAH 5.34% Series 13 10.06.2022,2020-04-01,3.562,103.709,0.06,-0.03,2.031,5.2860000000000005,2.0,5.34
1222,DL140036,UNITAPAH 5.34% Series 13 10.06.2022,2020-05-04,3.239,104.229,0.021,-0.02,1.945,4.907,2.0,5.34
1210,DL140036,UNITAPAH 5.34% Series 13 10.06.2022,2020-06-01,3.0669999999999997,104.425,-0.016,-0.001,1.8719999999999999,4.59,2.0,5.34
1209,DL140036,UNITAPAH 5.34% Series 13 10.06.2022,2020-07-01,3.0839999999999996,104.22,-0.006,0.0,1.839,4.368,2.0,5.34
1200,DL140036,UNITAPAH 5.34% Series 13 10.06.2022,2020-08-03,2.785,104.57700000000001,-0.023,-0.002,1.7530000000000001,4.0169999999999995,2.0,5.34
1183,DL140036,UNITAPAH 5.34% Series 13 10.06.2022,2020-09-01,2.687,104.55799999999999,-0.006,-0.012,1.676,3.714,2.0,5.34
1180,DL140036,UNITAPAH 5.34% Series 13 10.06.2022,2020-10-01,2.734,104.272,-0.006999999999999999,0.0,1.594,3.407,2.0,5.34
1170,DL140036,UNITAPAH 5.34% Series 13 10.06.2022,2020-11-02,2.6430000000000002,104.20200000000001,-0.013000000000000001,-0.005,1.508,3.0989999999999998,2.0,5.34
1290,DM140033,UNITAPAH 5.49% Series 16 12.12.2023,2019-08-01,3.964,106.054,-0.003,0.0,3.8510000000000004,17.737000000000002,2.0,5.49
1278,DM140033,UNITAPAH 5.49% Series 16 12.12.2023,2019-09-03,3.758,106.772,0.025,-0.01,3.7680000000000002,17.065,2.0,5.49
1264,DM140033,UNITAPAH 5.49% Series 16 12.12.2023,2019-10-01,3.782,106.564,-0.008,0.001,3.6919999999999997,16.461,2.0,5.49
1265,DM140033,UNITAPAH 5.49% Series 16 12.12.2023,2019-11-01,3.802,106.36399999999999,0.016,-0.005,3.608,15.807,2.0,5.49
1260,DM140033,UNITAPAH 5.49% Series 16 12.12.2023,2019-12-02,3.793,106.28,-0.008,-0.001,3.525,15.174000000000001,2.0,5.49
1241,DM140033,UNITAPAH 5.49% Series 16 12.12.2023,2020-01-02,3.778,106.214,-0.004,-0.001,3.534,14.942,2.0,5.49
1234,DM140033,UNITAPAH 5.49% Series 16 12.12.2023,2020-02-03,3.5839999999999996,106.801,0.024,-0.01,3.452,14.333,2.0,5.49
1232,DM140033,UNITAPAH 5.49% Series 16 12.12.2023,2020-03-02,3.384,107.405,0.037000000000000005,-0.013999999999999999,3.3819999999999997,13.815999999999999,2.0,5.49
1228,DM140033,UNITAPAH 5.49% Series 16 12.12.2023,2020-04-01,3.7960000000000003,105.78399999999999,0.11199999999999999,-0.033,3.2910000000000004,13.168,2.0,5.49
1225,DM140033,UNITAPAH 5.49% Series 16 12.12.2023,2020-05-04,3.363,107.162,0.054000000000000006,-0.021,3.213,12.617,2.0,5.49
1213,DM140033,UNITAPAH 5.49% Series 16 12.12.2023,2020-06-01,3.2560000000000002,107.389,-0.023,0.002,3.14,12.117,2.0,5.49
1212,DM140033,UNITAPAH 5.49% Series 16 12.12.2023,2020-07-01,3.2760000000000002,107.161,-0.002,-0.001,3.139,11.879000000000001,2.0,5.49
1203,DM140033,UNITAPAH 5.49% Series 16 12.12.2023,2020-08-03,2.944,108.079,-0.022000000000000002,-0.001,3.057,11.329,2.0,5.49
1186,DM140033,UNITAPAH 5.49% Series 16 12.12.2023,2020-09-01,2.891,108.068,-0.028999999999999998,0.001,2.98,10.824000000000002,2.0,5.49
1183,DM140033,UNITAPAH 5.49% Series 16 12.12.2023,2020-10-01,2.911,107.81200000000001,-0.006,0.0,2.898,10.306,2.0,5.49
1173,DM140033,UNITAPAH 5.49% Series 16 12.12.2023,2020-11-02,2.841,107.824,-0.017,-0.001,2.813,9.777999999999999,2.0,5.49
1289,DM140034,UNITAPAH 5.44% Series 15 12.06.2023,2019-08-01,3.949,105.288,-0.004,0.0,3.4539999999999997,14.342,2.0,5.44
1277,DM140034,UNITAPAH 5.44% Series 15 12.06.2023,2019-09-03,3.755,105.87,0.017,-0.009000000000000001,3.37,13.727,2.0,5.44
1263,DM140034,UNITAPAH 5.44% Series 15 12.06.2023,2019-10-01,3.763,105.73,-0.001,-0.001,3.295,13.187000000000001,2.0,5.44
1264,DM140034,UNITAPAH 5.44% Series 15 12.06.2023,2019-11-01,3.7710000000000004,105.581,0.006999999999999999,-0.003,3.2110000000000003,12.602,2.0,5.44
1259,DM140034,UNITAPAH 5.44% Series 15 12.06.2023,2019-12-02,3.76,105.49799999999999,-0.009000000000000001,-0.001,3.128,12.034,2.0,5.44
1240,DM140034,UNITAPAH 5.44% Series 15 12.06.2023,2020-01-02,3.7430000000000003,105.431,-0.005,-0.001,3.1260000000000003,11.787,2.0,5.44
1233,DM140034,UNITAPAH 5.44% Series 15 12.06.2023,2020-02-03,3.5610000000000004,105.88799999999999,0.019,-0.01,3.0439999999999996,11.238,2.0,5.44
1231,DM140034,UNITAPAH 5.44% Series 15 12.06.2023,2020-03-02,3.3569999999999998,106.41,0.02,-0.011000000000000001,2.972,10.774000000000001,2.0,5.44
1227,DM140034,UNITAPAH 5.44% Series 15 12.06.2023,2020-04-01,3.728,105.10700000000001,0.091,-0.031,2.884,10.215,2.0,5.44
1224,DM140034,UNITAPAH 5.44% Series 15 12.06.2023,2020-05-04,3.321,106.2,0.043,-0.021,2.803,9.714,2.0,5.44
1212,DM140034,UNITAPAH 5.44% Series 15 12.06.2023,2020-06-01,3.197,106.425,-0.013000000000000001,-0.001,2.73,9.274,2.0,5.44
1211,DM140034,UNITAPAH 5.44% Series 15 12.06.2023,2020-07-01,3.213,106.214,-0.003,-0.001,2.719,9.031,2.0,5.44
1202,DM140034,UNITAPAH 5.44% Series 15 12.06.2023,2020-08-03,2.887,106.95,-0.023,-0.001,2.636,8.542,2.0,5.44
1185,DM140034,UNITAPAH 5.44% Series 15 12.06.2023,2020-09-01,2.82,106.949,-0.015,-0.004,2.5580000000000003,8.103,2.0,5.44
1182,DM140034,UNITAPAH 5.44% Series 15 12.06.2023,2020-10-01,2.846,106.681,-0.004,-0.001,2.477,7.653,2.0,5.44
1172,DM140034,UNITAPAH 5.44% Series 15 12.06.2023,2020-11-02,2.7739999999999996,106.66,-0.02,0.0,2.391,7.195,2.0,5.44
362,DN100015,CJCAP 0% 15.07.2020,2019-08-01,3.625,101.777,-0.005,-0.001,0.924,1.3130000000000002,2.0,5.54
357,DN100015,CJCAP 0% 15.07.2020,2019-09-03,3.525,101.695,-0.012,-0.011000000000000001,0.836,1.1159999999999999,2.0,5.54
347,DN100015,CJCAP 0% 15.07.2020,2019-10-01,3.4930000000000003,101.572,0.003,-0.01,0.7609999999999999,0.96,2.0,5.54
352,DN100015,CJCAP 0% 15.07.2020,2019-11-01,3.536,101.375,-0.005,0.0,0.6779999999999999,0.8,2.0,5.54
343,DN100015,CJCAP 0% 15.07.2020,2019-12-02,3.5180000000000002,101.22399999999999,-0.015,-0.001,0.596,0.654,2.0,5.54
338,DN100015,CJCAP 0% 15.07.2020,2020-01-02,3.472,101.086,-0.005,-0.01,0.513,0.522,2.0,5.54
335,DN100015,CJCAP 0% 15.07.2020,2020-02-03,3.407,100.936,-0.018000000000000002,0.0,0.441,0.389,2.0,5.54
335,DN100015,CJCAP 0% 15.07.2020,2020-03-02,3.176,100.85799999999999,-0.013999999999999999,-0.013999999999999999,0.36700000000000005,0.26899999999999996,2.0,5.54
334,DN100015,CJCAP 0% 15.07.2020,2020-04-01,3.205,100.65700000000001,0.003,-0.03,0.28600000000000003,0.163,2.0,5.54
331,DN100015,CJCAP 0% 15.07.2020,2020-05-04,3.0380000000000003,100.48200000000001,-0.022000000000000002,-0.022000000000000002,0.19699999999999998,0.077,2.0,5.54
323,DN100015,CJCAP 0% 15.07.2020,2020-06-01,2.7260000000000004,100.33200000000001,-0.023,-0.002,0.12,0.028999999999999998,2.0,5.54
324,DN100015,CJCAP 0% 15.07.2020,2020-07-01,2.7289999999999996,100.105,-0.006999999999999999,-0.011000000000000001,0.038,0.003,2.0,5.54
1292,DN140031,UNITAPAH 5.59% Series 18 12.12.2024,2019-08-01,3.9930000000000003,107.63600000000001,-0.004,0.0,4.611000000000001,25.364,2.0,5.59
1280,DN140031,UNITAPAH 5.59% Series 18 12.12.2024,2019-09-03,3.77,108.62299999999999,0.034,-0.01,4.532,24.593000000000004,2.0,5.59
1266,DN140031,UNITAPAH 5.59% Series 18 12.12.2024,2019-10-01,3.819,108.26899999999999,-0.004,0.0,4.455,23.861,2.0,5.59
1267,DN140031,UNITAPAH 5.59% Series 18 12.12.2024,2019-11-01,3.8539999999999996,107.979,0.049,-0.011000000000000001,4.37,23.073,2.0,5.59
1262,DN140031,UNITAPAH 5.59% Series 18 12.12.2024,2019-12-02,3.8510000000000004,107.87700000000001,-0.011000000000000001,0.0,4.287,22.311999999999998,2.0,5.59
1243,DN140031,UNITAPAH 5.59% Series 18 12.12.2024,2020-01-02,3.8369999999999997,107.822,-0.008,0.0,4.316,22.139,2.0,5.59
1236,DN140031,UNITAPAH 5.59% Series 18 12.12.2024,2020-02-03,3.625,108.671,0.033,-0.01,4.237,21.426,2.0,5.59
1234,DN140031,UNITAPAH 5.59% Series 18 12.12.2024,2020-03-02,3.4189999999999996,109.49,0.073,-0.019,4.169,20.816,2.0,5.59
1230,DN140031,UNITAPAH 5.59% Series 18 12.12.2024,2020-04-01,3.898,107.191,0.17,-0.039,4.072,19.974,2.0,5.59
1227,DN140031,UNITAPAH 5.59% Series 18 12.12.2024,2020-05-04,3.43,109.126,0.07,-0.02,3.9989999999999997,19.344,2.0,5.59
1215,DN140031,UNITAPAH 5.59% Series 18 12.12.2024,2020-06-01,3.34,109.383,-0.046,0.006999999999999999,3.926,18.733,2.0,5.59
1214,DN140031,UNITAPAH 5.59% Series 18 12.12.2024,2020-07-01,3.372,109.088,-0.001,-0.001,3.945,18.531,2.0,5.59
1205,DN140031,UNITAPAH 5.59% Series 18 12.12.2024,2020-08-03,3.052,110.27799999999999,-0.02,-0.001,3.866,17.869,2.0,5.59
1188,DN140031,UNITAPAH 5.59% Series 18 12.12.2024,2020-09-01,2.995,110.34200000000001,-0.034,0.002,3.7889999999999997,17.244,2.0,5.59
1185,DN140031,UNITAPAH 5.59% Series 18 12.12.2024,2020-10-01,3.016,110.069,-0.027000000000000003,0.005,3.708,16.593,2.0,5.59
1175,DN140031,UNITAPAH 5.59% Series 18 12.12.2024,2020-11-02,2.955,110.12,-0.011000000000000001,-0.002,3.623,15.93,2.0,5.59
1291,DN140032,UNITAPAH 5.54% Series 17 12.06.2024,2019-08-01,3.98,106.83,-0.004,0.0,4.236000000000001,21.416999999999998,2.0,5.54
1279,DN140032,UNITAPAH 5.54% Series 17 12.06.2024,2019-09-03,3.763,107.691,0.028999999999999998,-0.01,4.155,20.693,2.0,5.54
1265,DN140032,UNITAPAH 5.54% Series 17 12.06.2024,2019-10-01,3.802,107.404,-0.004,0.0,4.079,20.025,2.0,5.54
1266,DN140032,UNITAPAH 5.54% Series 17 12.06.2024,2019-11-01,3.833,107.148,0.032,-0.008,3.9939999999999998,19.303,2.0,5.54
1261,DN140032,UNITAPAH 5.54% Series 17 12.06.2024,2019-12-02,3.8280000000000003,107.052,-0.006999999999999999,-0.001,3.911,18.604,2.0,5.54
1242,DN140032,UNITAPAH 5.54% Series 17 12.06.2024,2020-01-02,3.8139999999999996,106.99,-0.004,-0.001,3.93,18.398,2.0,5.54
1235,DN140032,UNITAPAH 5.54% Series 17 12.06.2024,2020-02-03,3.608,107.71700000000001,0.028999999999999998,-0.01,3.85,17.735,2.0,5.54
1233,DN140032,UNITAPAH 5.54% Series 17 12.06.2024,2020-03-02,3.407,108.419,0.051,-0.016,3.78,17.169,2.0,5.54
1229,DN140032,UNITAPAH 5.54% Series 17 12.06.2024,2020-04-01,3.853,106.47200000000001,0.139,-0.036000000000000004,3.687,16.427,2.0,5.54
1226,DN140032,UNITAPAH 5.54% Series 17 12.06.2024,2020-05-04,3.4019999999999997,108.124,0.06,-0.02,3.611,15.832,2.0,5.54
1214,DN140032,UNITAPAH 5.54% Series 17 12.06.2024,2020-06-01,3.306,108.361,-0.035,0.005,3.5380000000000003,15.275,2.0,5.54
1213,DN140032,UNITAPAH 5.54% Series 17 12.06.2024,2020-07-01,3.335,108.09100000000001,-0.006,0.0,3.548,15.050999999999998,2.0,5.54
1204,DN140032,UNITAPAH 5.54% Series 17 12.06.2024,2020-08-03,3.0060000000000002,109.161,-0.02,-0.001,3.467,14.443,2.0,5.54
1187,DN140032,UNITAPAH 5.54% Series 17 12.06.2024,2020-09-01,2.949,109.194,-0.033,0.002,3.39,13.878,2.0,5.54
1184,DN140032,UNITAPAH 5.54% Series 17 12.06.2024,2020-10-01,2.969,108.932,-0.017,0.003,3.3080000000000003,13.292,2.0,5.54
1174,DN140032,UNITAPAH 5.54% Series 17 12.06.2024,2020-11-02,2.904,108.965,-0.012,-0.002,3.2230000000000003,12.696,2.0,5.54
1341,DN150002,ISLAM 5.750% 22.04.2025,2019-08-01,3.617,101.50299999999999,-0.006,0.0,0.6970000000000001,0.8340000000000001,2.0,5.75
