,VALUE DATE,STOCK CODE,STOCK NAME,EVAL MID YIELD,EVAL MID PRICE,MODIFIED DURATION,COMPOSITE LIQUIDITY SCORE (T-1),COUPON FREQUENCY,NEXT COUPON RATE,CALLABLE/PUTTABLE,REMAINING TENURE,OUTPUT PRICE,RATING TARGET,OPR level
10551,2020-03-01,DJ140039,UNITAPAH 5.12% Series 9 12.06.2020,3.114,100.54299999999999,0.276,0.0,2.0,5.12,0,3,100.385,106.14524117827534,2.75
12067,2020-04-01,DJ140039,UNITAPAH 5.12% Series 9 12.06.2020,3.097,100.385,0.195,0.0,2.0,5.12,0,3,100.223,106.14524117827534,2.5
13598,2020-05-01,DJ140039,UNITAPAH 5.12% Series 9 12.06.2020,2.94,100.223,0.105,0.0,2.0,5.12,0,3,100.068,106.14524117827534,2.5
3,2019-08-01,DK140037,UNITAPAH 5.28% Series 12 10.12.2021,3.8569999999999998,103.17200000000001,2.1919999999999997,0.0,2.0,5.28,0,36,103.42399999999999,106.14524117827534,3.0
1489,2019-09-01,DK140037,UNITAPAH 5.28% Series 12 10.12.2021,3.6889999999999996,103.42399999999999,2.106,0.0,2.0,5.28,0,36,103.353,106.14524117827534,3.0
2981,2019-10-01,DK140037,UNITAPAH 5.28% Series 12 10.12.2021,3.67,103.353,2.031,0.0,2.0,5.28,0,36,103.24799999999999,106.14524117827534,2.93
4473,2019-11-01,DK140037,UNITAPAH 5.28% Series 12 10.12.2021,3.661,103.24799999999999,1.9469999999999998,0.0,2.0,5.28,0,36,103.176,106.14524117827534,2.92
5976,2019-12-01,DK140037,UNITAPAH 5.28% Series 12 10.12.2021,3.635,103.176,1.864,0.0,2.0,5.28,0,24,103.08200000000001,106.14524117827534,2.99
7479,2020-01-01,DK140037,UNITAPAH 5.28% Series 12 10.12.2021,3.617,103.08200000000001,1.829,0.0,2.0,5.28,0,24,103.221,106.14524117827534,3.0
9022,2020-02-01,DK140037,UNITAPAH 5.28% Series 12 10.12.2021,3.464,103.221,1.745,3.0,2.0,5.28,0,24,103.434,106.14524117827534,2.66
10552,2020-03-01,DK140037,UNITAPAH 5.28% Series 12 10.12.2021,3.267,103.434,1.671,2.7,2.0,5.28,0,24,102.93299999999999,106.14524117827534,2.75
12068,2020-04-01,DK140037,UNITAPAH 5.28% Series 12 10.12.2021,3.475,102.93299999999999,1.588,2.7,2.0,5.28,0,24,103.21700000000001,106.14524117827534,2.5
13599,2020-05-01,DK140037,UNITAPAH 5.28% Series 12 10.12.2021,3.199,103.21700000000001,1.5019999999999998,2.3,2.0,5.28,0,24,103.368,106.14524117827534,2.5
15105,2020-06-01,DK140037,UNITAPAH 5.28% Series 12 10.12.2021,3.0010000000000003,103.368,1.4280000000000002,2.3,2.0,5.28,0,24,103.176,106.14524117827534,2.0
16603,2020-07-01,DK140037,UNITAPAH 5.28% Series 12 10.12.2021,3.012,103.176,1.3840000000000001,2.3,2.0,5.28,0,24,103.383,106.14524117827534,2.0
18094,2020-08-01,DK140037,UNITAPAH 5.28% Series 12 10.12.2021,2.7119999999999997,103.383,1.297,0.0,2.0,5.28,0,24,103.29700000000001,106.14524117827534,1.75
19583,2020-09-01,DK140037,UNITAPAH 5.28% Series 12 10.12.2021,2.625,103.29700000000001,1.219,0.0,2.0,5.28,0,24,103.03,106.14524117827534,1.75
21084,2020-10-01,DK140037,UNITAPAH 5.28% Series 12 10.12.2021,2.673,103.03,1.138,0.0,2.0,5.28,0,24,102.943,106.14524117827534,1.75
4,2019-08-01,DK140038,UNITAPAH 5.23% Series 11 11.06.2021,3.8169999999999997,102.509,1.7530000000000001,0.0,2.0,5.23,0,24,102.646,106.14524117827534,3.0
1490,2019-09-01,DK140038,UNITAPAH 5.23% Series 11 11.06.2021,3.6689999999999996,102.646,1.665,0.0,2.0,5.23,0,24,102.59700000000001,106.14524117827534,3.0
2982,2019-10-01,DK140038,UNITAPAH 5.23% Series 11 11.06.2021,3.6310000000000002,102.59700000000001,1.59,0.0,2.0,5.23,0,24,102.47399999999999,106.14524117827534,2.93
4474,2019-11-01,DK140038,UNITAPAH 5.23% Series 11 11.06.2021,3.63,102.47399999999999,1.507,0.0,2.0,5.23,0,24,102.381,106.14524117827534,2.92
5977,2019-12-01,DK140038,UNITAPAH 5.23% Series 11 11.06.2021,3.609,102.381,1.4240000000000002,0.0,2.0,5.23,0,24,102.289,106.14524117827534,2.99
7480,2020-01-01,DK140038,UNITAPAH 5.23% Series 11 11.06.2021,3.583,102.289,1.3780000000000001,0.0,2.0,5.23,0,24,102.344,106.14524117827534,3.0
9023,2020-02-01,DK140038,UNITAPAH 5.23% Series 11 11.06.2021,3.437,102.344,1.2919999999999998,3.3,2.0,5.23,0,24,102.47,106.14524117827534,2.66
10553,2020-03-01,DK140038,UNITAPAH 5.23% Series 11 11.06.2021,3.233,102.47,1.218,3.0,2.0,5.23,0,24,102.148,106.14524117827534,2.75
12069,2020-04-01,DK140038,UNITAPAH 5.23% Series 11 11.06.2021,3.3739999999999997,102.148,1.137,3.0,2.0,5.23,0,24,102.238,106.14524117827534,2.5
13600,2020-05-01,DK140038,UNITAPAH 5.23% Series 11 11.06.2021,3.1460000000000004,102.238,1.0490000000000002,2.3,2.0,5.23,0,24,102.325,106.14524117827534,2.5
15106,2020-06-01,DK140038,UNITAPAH 5.23% Series 11 11.06.2021,2.9130000000000003,102.325,0.975,2.3,2.0,5.23,0,12,102.141,106.14524117827534,2.0
16604,2020-07-01,DK140038,UNITAPAH 5.23% Series 11 11.06.2021,2.915,102.141,0.919,2.3,2.0,5.23,0,12,102.19,106.14524117827534,2.0
18095,2020-08-01,DK140038,UNITAPAH 5.23% Series 11 11.06.2021,2.6180000000000003,102.19,0.831,0.0,2.0,5.23,0,12,102.052,106.14524117827534,1.75
19584,2020-09-01,DK140038,UNITAPAH 5.23% Series 11 11.06.2021,2.535,102.052,0.753,0.0,2.0,5.23,0,12,101.803,106.14524117827534,1.75
21085,2020-10-01,DK140038,UNITAPAH 5.23% Series 11 11.06.2021,2.583,101.803,0.672,0.0,2.0,5.23,0,12,101.663,106.14524117827534,1.75
5,2019-08-01,DL140035,UNITAPAH 5.39% Series 14 12.12.2022,3.924,104.572,3.0469999999999997,0.0,2.0,5.39,0,60,105.023,106.14524117827534,3.0
1491,2019-09-01,DL140035,UNITAPAH 5.39% Series 14 12.12.2022,3.7430000000000003,105.023,2.9610000000000003,0.0,2.0,5.39,0,60,104.90899999999999,106.14524117827534,3.0
2983,2019-10-01,DL140035,UNITAPAH 5.39% Series 14 12.12.2022,3.7439999999999998,104.90899999999999,2.886,0.0,2.0,5.39,0,60,104.79899999999999,106.14524117827534,2.93
4475,2019-11-01,DL140035,UNITAPAH 5.39% Series 14 12.12.2022,3.74,104.79899999999999,2.803,0.0,2.0,5.39,0,60,104.719,106.14524117827534,2.92
5978,2019-12-01,DL140035,UNITAPAH 5.39% Series 14 12.12.2022,3.7260000000000004,104.719,2.72,0.0,2.0,5.39,0,36,104.648,106.14524117827534,2.99
7481,2020-01-01,DL140035,UNITAPAH 5.39% Series 14 12.12.2022,3.707,104.648,2.707,0.0,2.0,5.39,0,36,105.00399999999999,106.14524117827534,3.0
9024,2020-02-01,DL140035,UNITAPAH 5.39% Series 14 12.12.2022,3.53,105.00399999999999,2.6239999999999997,0.0,2.0,5.39,0,36,105.42299999999999,106.14524117827534,2.66
10554,2020-03-01,DL140035,UNITAPAH 5.39% Series 14 12.12.2022,3.3280000000000003,105.42299999999999,2.552,0.0,2.0,5.39,0,36,104.429,106.14524117827534,2.75
12070,2020-04-01,DL140035,UNITAPAH 5.39% Series 14 12.12.2022,3.648,104.429,2.4659999999999997,0.0,2.0,5.39,0,36,105.23,106.14524117827534,2.5
13601,2020-05-01,DL140035,UNITAPAH 5.39% Series 14 12.12.2022,3.278,105.23,2.383,0.0,2.0,5.39,0,36,105.45,106.14524117827534,2.5
15107,2020-06-01,DL140035,UNITAPAH 5.39% Series 14 12.12.2022,3.1310000000000002,105.45,2.309,0.0,2.0,5.39,0,36,105.243,106.14524117827534,2.0
16605,2020-07-01,DL140035,UNITAPAH 5.39% Series 14 12.12.2022,3.147,105.243,2.2880000000000003,0.0,2.0,5.39,0,36,105.77799999999999,106.14524117827534,2.0
18096,2020-08-01,DL140035,UNITAPAH 5.39% Series 14 12.12.2022,2.8369999999999997,105.77799999999999,2.2030000000000003,0.0,2.0,5.39,0,36,105.79299999999999,106.14524117827534,1.75
19585,2020-09-01,DL140035,UNITAPAH 5.39% Series 14 12.12.2022,2.747,105.79299999999999,2.126,0.0,2.0,5.39,0,36,105.512,106.14524117827534,1.75
21086,2020-10-01,DL140035,UNITAPAH 5.39% Series 14 12.12.2022,2.783,105.512,2.044,0.0,2.0,5.39,0,36,105.463,106.14524117827534,1.75
6,2019-08-01,DL140036,UNITAPAH 5.34% Series 13 10.06.2022,3.8989999999999996,103.85600000000001,2.622,2.7,2.0,5.34,0,36,104.22200000000001,106.14524117827534,3.0
1492,2019-09-01,DL140036,UNITAPAH 5.34% Series 13 10.06.2022,3.718,104.22200000000001,2.536,2.3,2.0,5.34,0,36,104.126,106.14524117827534,3.0
2984,2019-10-01,DL140036,UNITAPAH 5.34% Series 13 10.06.2022,3.7119999999999997,104.126,2.461,2.3,2.0,5.34,0,36,104.031,106.14524117827534,2.93
4476,2019-11-01,DL140036,UNITAPAH 5.34% Series 13 10.06.2022,3.701,104.031,2.378,2.3,2.0,5.34,0,36,103.95100000000001,106.14524117827534,2.92
5979,2019-12-01,DL140036,UNITAPAH 5.34% Series 13 10.06.2022,3.6839999999999997,103.95100000000001,2.295,0.0,2.0,5.34,0,36,103.866,106.14524117827534,2.99
7482,2020-01-01,DL140036,UNITAPAH 5.34% Series 13 10.06.2022,3.6660000000000004,103.866,2.272,0.0,2.0,5.34,0,36,104.115,106.14524117827534,3.0
9025,2020-02-01,DL140036,UNITAPAH 5.34% Series 13 10.06.2022,3.498,104.115,2.187,0.0,2.0,5.34,0,36,104.43299999999999,106.14524117827534,2.66
10555,2020-03-01,DL140036,UNITAPAH 5.34% Series 13 10.06.2022,3.2969999999999997,104.43299999999999,2.115,0.0,2.0,5.34,0,36,103.709,106.14524117827534,2.75
12071,2020-04-01,DL140036,UNITAPAH 5.34% Series 13 10.06.2022,3.562,103.709,2.031,0.0,2.0,5.34,0,36,104.229,106.14524117827534,2.5
13602,2020-05-01,DL140036,UNITAPAH 5.34% Series 13 10.06.2022,3.239,104.229,1.945,0.0,2.0,5.34,0,36,104.425,106.14524117827534,2.5
15108,2020-06-01,DL140036,UNITAPAH 5.34% Series 13 10.06.2022,3.0669999999999997,104.425,1.8719999999999999,0.0,2.0,5.34,0,24,104.22,106.14524117827534,2.0
16606,2020-07-01,DL140036,UNITAPAH 5.34% Series 13 10.06.2022,3.0839999999999996,104.22,1.839,0.0,2.0,5.34,0,24,104.57700000000001,106.14524117827534,2.0
18097,2020-08-01,DL140036,UNITAPAH 5.34% Series 13 10.06.2022,2.785,104.57700000000001,1.7530000000000001,0.0,2.0,5.34,0,24,104.55799999999999,106.14524117827534,1.75
19586,2020-09-01,DL140036,UNITAPAH 5.34% Series 13 10.06.2022,2.687,104.55799999999999,1.676,0.0,2.0,5.34,0,24,104.272,106.14524117827534,1.75
21087,2020-10-01,DL140036,UNITAPAH 5.34% Series 13 10.06.2022,2.734,104.272,1.594,0.0,2.0,5.34,0,24,104.20200000000001,106.14524117827534,1.75
7,2019-08-01,DM140033,UNITAPAH 5.49% Series 16 12.12.2023,3.964,106.054,3.8510000000000004,0.0,2.0,5.49,0,60,106.772,106.14524117827534,3.0
1493,2019-09-01,DM140033,UNITAPAH 5.49% Series 16 12.12.2023,3.758,106.772,3.7680000000000002,0.0,2.0,5.49,0,60,106.564,106.14524117827534,3.0
2985,2019-10-01,DM140033,UNITAPAH 5.49% Series 16 12.12.2023,3.782,106.564,3.6919999999999997,0.0,2.0,5.49,0,60,106.36399999999999,106.14524117827534,2.93
4477,2019-11-01,DM140033,UNITAPAH 5.49% Series 16 12.12.2023,3.802,106.36399999999999,3.608,0.0,2.0,5.49,0,60,106.28,106.14524117827534,2.92
5980,2019-12-01,DM140033,UNITAPAH 5.49% Series 16 12.12.2023,3.793,106.28,3.525,0.0,2.0,5.49,0,60,106.214,106.14524117827534,2.99
7483,2020-01-01,DM140033,UNITAPAH 5.49% Series 16 12.12.2023,3.778,106.214,3.534,0.0,2.0,5.49,0,60,106.801,106.14524117827534,3.0
9026,2020-02-01,DM140033,UNITAPAH 5.49% Series 16 12.12.2023,3.5839999999999996,106.801,3.452,0.0,2.0,5.49,0,60,107.405,106.14524117827534,2.66
10556,2020-03-01,DM140033,UNITAPAH 5.49% Series 16 12.12.2023,3.384,107.405,3.3819999999999997,0.0,2.0,5.49,0,60,105.78399999999999,106.14524117827534,2.75
12072,2020-04-01,DM140033,UNITAPAH 5.49% Series 16 12.12.2023,3.7960000000000003,105.78399999999999,3.2910000000000004,0.0,2.0,5.49,0,60,107.162,106.14524117827534,2.5
13603,2020-05-01,DM140033,UNITAPAH 5.49% Series 16 12.12.2023,3.363,107.162,3.213,0.0,2.0,5.49,0,60,107.389,106.14524117827534,2.5
15109,2020-06-01,DM140033,UNITAPAH 5.49% Series 16 12.12.2023,3.2560000000000002,107.389,3.14,0.0,2.0,5.49,0,60,107.161,106.14524117827534,2.0
16607,2020-07-01,DM140033,UNITAPAH 5.49% Series 16 12.12.2023,3.2760000000000002,107.161,3.139,0.0,2.0,5.49,0,60,108.079,106.14524117827534,2.0
18098,2020-08-01,DM140033,UNITAPAH 5.49% Series 16 12.12.2023,2.944,108.079,3.057,0.0,2.0,5.49,0,60,108.068,106.14524117827534,1.75
19587,2020-09-01,DM140033,UNITAPAH 5.49% Series 16 12.12.2023,2.891,108.068,2.98,0.0,2.0,5.49,0,60,107.81200000000001,106.14524117827534,1.75
21088,2020-10-01,DM140033,UNITAPAH 5.49% Series 16 12.12.2023,2.911,107.81200000000001,2.898,0.0,2.0,5.49,0,60,107.824,106.14524117827534,1.75
8,2019-08-01,DM140034,UNITAPAH 5.44% Series 15 12.06.2023,3.949,105.288,3.4539999999999997,0.0,2.0,5.44,0,60,105.87,106.14524117827534,3.0
1494,2019-09-01,DM140034,UNITAPAH 5.44% Series 15 12.06.2023,3.755,105.87,3.37,0.0,2.0,5.44,0,60,105.73,106.14524117827534,3.0
2986,2019-10-01,DM140034,UNITAPAH 5.44% Series 15 12.06.2023,3.763,105.73,3.295,0.0,2.0,5.44,0,60,105.581,106.14524117827534,2.93
4478,2019-11-01,DM140034,UNITAPAH 5.44% Series 15 12.06.2023,3.7710000000000004,105.581,3.2110000000000003,0.0,2.0,5.44,0,60,105.49799999999999,106.14524117827534,2.92
5981,2019-12-01,DM140034,UNITAPAH 5.44% Series 15 12.06.2023,3.76,105.49799999999999,3.128,0.0,2.0,5.44,0,60,105.431,106.14524117827534,2.99
7484,2020-01-01,DM140034,UNITAPAH 5.44% Series 15 12.06.2023,3.7430000000000003,105.431,3.1260000000000003,0.0,2.0,5.44,0,60,105.88799999999999,106.14524117827534,3.0
9027,2020-02-01,DM140034,UNITAPAH 5.44% Series 15 12.06.2023,3.5610000000000004,105.88799999999999,3.0439999999999996,0.0,2.0,5.44,0,60,106.41,106.14524117827534,2.66
10557,2020-03-01,DM140034,UNITAPAH 5.44% Series 15 12.06.2023,3.3569999999999998,106.41,2.972,0.0,2.0,5.44,0,60,105.10700000000001,106.14524117827534,2.75
12073,2020-04-01,DM140034,UNITAPAH 5.44% Series 15 12.06.2023,3.728,105.10700000000001,2.884,0.0,2.0,5.44,0,60,106.2,106.14524117827534,2.5
13604,2020-05-01,DM140034,UNITAPAH 5.44% Series 15 12.06.2023,3.321,106.2,2.803,0.0,2.0,5.44,0,60,106.425,106.14524117827534,2.5
15110,2020-06-01,DM140034,UNITAPAH 5.44% Series 15 12.06.2023,3.197,106.425,2.73,0.0,2.0,5.44,0,36,106.214,106.14524117827534,2.0
16608,2020-07-01,DM140034,UNITAPAH 5.44% Series 15 12.06.2023,3.213,106.214,2.719,3.7,2.0,5.44,0,36,106.95,106.14524117827534,2.0
18099,2020-08-01,DM140034,UNITAPAH 5.44% Series 15 12.06.2023,2.887,106.95,2.636,3.0,2.0,5.44,0,36,106.949,106.14524117827534,1.75
19588,2020-09-01,DM140034,UNITAPAH 5.44% Series 15 12.06.2023,2.82,106.949,2.5580000000000003,3.0,2.0,5.44,0,36,106.681,106.14524117827534,1.75
21089,2020-10-01,DM140034,UNITAPAH 5.44% Series 15 12.06.2023,2.846,106.681,2.477,2.7,2.0,5.44,0,36,106.66,106.14524117827534,1.75
9,2019-08-01,DN100015,CJCAP 0% 15.07.2020,3.625,101.777,0.924,2.7,2.0,5.54,0,12,101.695,104.7590071644044,3.0
1495,2019-09-01,DN100015,CJCAP 0% 15.07.2020,3.525,101.695,0.836,1.7,2.0,5.54,0,12,101.572,104.7590071644044,3.0
2987,2019-10-01,DN100015,CJCAP 0% 15.07.2020,3.4930000000000003,101.572,0.7609999999999999,1.7,2.0,5.54,0,12,101.375,104.7590071644044,2.93
4479,2019-11-01,DN100015,CJCAP 0% 15.07.2020,3.536,101.375,0.6779999999999999,0.0,2.0,5.54,0,12,101.22399999999999,104.7590071644044,2.92
5982,2019-12-01,DN100015,CJCAP 0% 15.07.2020,3.5180000000000002,101.22399999999999,0.596,0.0,2.0,5.54,0,12,101.086,104.7590071644044,2.99
7485,2020-01-01,DN100015,CJCAP 0% 15.07.2020,3.472,101.086,0.513,0.0,2.0,5.54,0,6,100.936,104.7590071644044,3.0
9028,2020-02-01,DN100015,CJCAP 0% 15.07.2020,3.407,100.936,0.441,0.0,2.0,5.54,0,6,100.85799999999999,104.7590071644044,2.66
10558,2020-03-01,DN100015,CJCAP 0% 15.07.2020,3.176,100.85799999999999,0.36700000000000005,0.0,2.0,5.54,0,6,100.65700000000001,104.7590071644044,2.75
12074,2020-04-01,DN100015,CJCAP 0% 15.07.2020,3.205,100.65700000000001,0.28600000000000003,0.0,2.0,5.54,0,3,100.48200000000001,104.7590071644044,2.5
13605,2020-05-01,DN100015,CJCAP 0% 15.07.2020,3.0380000000000003,100.48200000000001,0.19699999999999998,0.0,2.0,5.54,0,3,100.33200000000001,104.7590071644044,2.5
15111,2020-06-01,DN100015,CJCAP 0% 15.07.2020,2.7260000000000004,100.33200000000001,0.12,0.0,2.0,5.54,0,3,100.105,104.7590071644044,2.0
10,2019-08-01,DN140031,UNITAPAH 5.59% Series 18 12.12.2024,3.9930000000000003,107.63600000000001,4.611000000000001,0.0,2.0,5.59,0,84,108.62299999999999,106.14524117827534,3.0
1496,2019-09-01,DN140031,UNITAPAH 5.59% Series 18 12.12.2024,3.77,108.62299999999999,4.532,0.0,2.0,5.59,0,84,108.26899999999999,106.14524117827534,3.0
2988,2019-10-01,DN140031,UNITAPAH 5.59% Series 18 12.12.2024,3.819,108.26899999999999,4.455,0.0,2.0,5.59,0,84,107.979,106.14524117827534,2.93
4480,2019-11-01,DN140031,UNITAPAH 5.59% Series 18 12.12.2024,3.8539999999999996,107.979,4.37,0.0,2.0,5.59,0,84,107.87700000000001,106.14524117827534,2.92
5983,2019-12-01,DN140031,UNITAPAH 5.59% Series 18 12.12.2024,3.8510000000000004,107.87700000000001,4.287,0.0,2.0,5.59,0,60,107.822,106.14524117827534,2.99
7486,2020-01-01,DN140031,UNITAPAH 5.59% Series 18 12.12.2024,3.8369999999999997,107.822,4.316,0.0,2.0,5.59,0,60,108.671,106.14524117827534,3.0
9029,2020-02-01,DN140031,UNITAPAH 5.59% Series 18 12.12.2024,3.625,108.671,4.237,0.0,2.0,5.59,0,60,109.49,106.14524117827534,2.66
10559,2020-03-01,DN140031,UNITAPAH 5.59% Series 18 12.12.2024,3.4189999999999996,109.49,4.169,3.0,2.0,5.59,0,60,107.191,106.14524117827534,2.75
12075,2020-04-01,DN140031,UNITAPAH 5.59% Series 18 12.12.2024,3.898,107.191,4.072,2.3,2.0,5.59,0,60,109.126,106.14524117827534,2.5
13606,2020-05-01,DN140031,UNITAPAH 5.59% Series 18 12.12.2024,3.43,109.126,3.9989999999999997,2.3,2.0,5.59,0,60,109.383,106.14524117827534,2.5
15112,2020-06-01,DN140031,UNITAPAH 5.59% Series 18 12.12.2024,3.34,109.383,3.926,2.0,2.0,5.59,0,60,109.088,106.14524117827534,2.0
16609,2020-07-01,DN140031,UNITAPAH 5.59% Series 18 12.12.2024,3.372,109.088,3.945,2.0,2.0,5.59,0,60,110.27799999999999,106.14524117827534,2.0
18100,2020-08-01,DN140031,UNITAPAH 5.59% Series 18 12.12.2024,3.052,110.27799999999999,3.866,2.0,2.0,5.59,0,60,110.34200000000001,106.14524117827534,1.75
19589,2020-09-01,DN140031,UNITAPAH 5.59% Series 18 12.12.2024,2.995,110.34200000000001,3.7889999999999997,0.0,2.0,5.59,0,60,110.069,106.14524117827534,1.75
21090,2020-10-01,DN140031,UNITAPAH 5.59% Series 18 12.12.2024,3.016,110.069,3.708,0.0,2.0,5.59,0,60,110.12,106.14524117827534,1.75
11,2019-08-01,DN140032,UNITAPAH 5.54% Series 17 12.06.2024,3.98,106.83,4.236000000000001,0.0,2.0,5.54,0,60,107.691,106.14524117827534,3.0
1497,2019-09-01,DN140032,UNITAPAH 5.54% Series 17 12.06.2024,3.763,107.691,4.155,0.0,2.0,5.54,0,60,107.404,106.14524117827534,3.0
2989,2019-10-01,DN140032,UNITAPAH 5.54% Series 17 12.06.2024,3.802,107.404,4.079,0.0,2.0,5.54,0,60,107.148,106.14524117827534,2.93
4481,2019-11-01,DN140032,UNITAPAH 5.54% Series 17 12.06.2024,3.833,107.148,3.9939999999999998,0.0,2.0,5.54,0,60,107.052,106.14524117827534,2.92
5984,2019-12-01,DN140032,UNITAPAH 5.54% Series 17 12.06.2024,3.8280000000000003,107.052,3.911,0.0,2.0,5.54,0,60,106.99,106.14524117827534,2.99
7487,2020-01-01,DN140032,UNITAPAH 5.54% Series 17 12.06.2024,3.8139999999999996,106.99,3.93,0.0,2.0,5.54,0,60,107.71700000000001,106.14524117827534,3.0
9030,2020-02-01,DN140032,UNITAPAH 5.54% Series 17 12.06.2024,3.608,107.71700000000001,3.85,0.0,2.0,5.54,0,60,108.419,106.14524117827534,2.66
10560,2020-03-01,DN140032,UNITAPAH 5.54% Series 17 12.06.2024,3.407,108.419,3.78,3.3,2.0,5.54,0,60,106.47200000000001,106.14524117827534,2.75
12076,2020-04-01,DN140032,UNITAPAH 5.54% Series 17 12.06.2024,3.853,106.47200000000001,3.687,3.0,2.0,5.54,0,60,108.124,106.14524117827534,2.5
